fund_name,amc_name,category,launch_date,nav,nav_currency,nav_as_of,expense_ratio,aum,aum_currency,aum_unit,inception_date,minimum_investment,lock_in_period,exit_load,benchmark_index,target_corpus_at_launch,target_corpus_at_launch,source_name,source_url,scraped_at,scrape_status,source_tier
Tata India Dynamic Equity Fund,Tata Asset Management IFSC Branch,Retail Fund,2025-12-01,94.9608,USD,2026-01-31,1.75,2.25,USD,million,2025-12-01,USD 500,,,,,,Tata Asset Management IFSC factsheet - Class A Direct,https://www.tatamutualfund.com/system/files/2026-02/Tata%20India%20Dynamic%20Equity%20Fund%20Factsheet%20-%20Class%20A%20-%20Feb%2726.pdf,2026-08-19T07:44:46.260853+00:00,success,tier1_amc
DSP Global Equity Fund,DSP Fund Managers IFSC Private Limited,Retail Fund,2025-09-22,9.55,USD,,1.75,,,,,"USD 5,000",,"1% within 24 months, no exit load after",MSCI ACWI Net Total Return,,,DSP GIFT City product page,https://giftcity.dspim.com/product,2026-08-19T07:44:48.011709+00:00,success,tier1_amc
Parag Parikh IFSC S&P 500 Fund of Fund,PPFAS Alternate Asset Managers IFSC Private Limited,Retail Fund of Fund,2026-03-20,98.3232,USD,2026-03-30,0.6,4.39,USD,million,2026-03-20,"USD 5,000",None,NIL,S&P 500 Net TRI,,,PPFAS GIFT S&P 500 factsheet,https://gift.ppfas.com/product/outbound/parag_parikh_ifsc_s%26p_500_fof/pdf/Parag_Parikh_IFSC_S%26P_500-regular-factsheet.pdf,2026-08-19T07:44:54.617634+00:00,partial,tier1_amc
Parag Parikh IFSC Nasdaq 100 Fund of Fund,PPFAS Alternate Asset Managers IFSC Private Limited,Retail Fund of Fund,2026-03-20,122.165,USD,2026-08-17,0.3,4.82,USD,million,2026-03-20,"USD 5,000",None,NIL,NASDAQ 100 Notional Net TRI,,,PPFAS GIFT Nasdaq 100 NAV history + official factsheet,https://gift.ppfas.com/product/outbound/parag_parikh_ifsc_nasdaq_100_fof/nav-history/,2026-08-19T07:44:59.551171+00:00,success,tier1_amc
Edelweiss Greater China Equity Fund,Edelweiss Asset Management Limited IFSC Branch,Open-ended retail Fund of Fund,,,USD,,0.3,,USD,,,USD 10000,,"2% (Year 1), 1% (Year 2), Nil (Year 3+)",MSCI Golden Dragon Index,,,Edelweiss GIFT City official page,https://www.edelweissmf.com/gift-city,2026-08-19T07:45:09.051670+00:00,pending_launch,tier1_amc
Sundaram India Mid Cap - GIFT,Sundaram Asset Management Company,Open-ended retail feeder fund,2026-03-19,10.6962,USD,2026-04-30,,,,,2026-03-19,"USD 5,000",,,Nifty Midcap 150,,,Sundaram GIFT City factsheet,https://www.sundarammutual.com/pdf2/2026/Gift_City/India_Midcap_Gift_City_Fund_FactSheet_Apr_2026_V1.pdf,2026-08-19T07:45:10.605822+00:00,success,tier1_amc
Mirae Asset Global Allocation Fund,Mirae Asset Investment Managers (India) Private Limited - IFSC Branch,Close-ended Category III AIF (non-retail),,,USD,,,,,,,"USD 151,000",3 years from final close,,,,,Mirae Asset GIFT City official page,https://giftcity.miraeassetmf.co.in/mirae-asset-global-allocation-fund.html,2026-08-19T07:45:13.545471+00:00,partial,tier1_amc
Bandhan India Small Cap Fund (IFSC),Bandhan AMC Limited (IFSC Branch),Open-ended Category III AIF (Equity),2026-04-30,97.14,USD,2026-04-30,,6.12,USD,million,,,,,Nifty Smallcap 250,,,Bandhan GIFT City factsheet,https://www.bandhanamc.com/amcaccess/sites/default/files/2026-05/GIFT-Bandhan-India-Small-Cap-IFSC-Factsheet-Apr-26.pdf,2026-08-19T07:45:15.341175+00:00,success,tier1_amc
Bandhan India Large and Mid-Cap Fund (IFSC),Bandhan AMC Limited (IFSC Branch),Open-ended Category III AIF (Equity),2025-09-15,100.95,USD,,,1.37,USD,million,,,,,NIFTY Large Midcap 250 TRI,,,Bandhan GIFT City factsheet (Large & Mid-Cap),https://www.bandhanamc.com/amcaccess/sites/default/files/2025-11/Bandhan-India-Large-and-Midcap-IFSC-Factsheet-Nov-25.pdf,2026-08-19T07:45:17.464173+00:00,success,tier1_amc
Marcellus Global Equities Fund,Marcellus Investment Managers Private Limited (IFSC Branch),Retail Scheme,2026-06-25,10.036,USD,2026-07-31,1.25,5.55,USD,million,,"USD 5,000",None,2%,,,,Marcellus GIFT City factsheet,https://marcellus.in/wp-content/uploads/gift-retail/marcellus_global_equities_fund_factsheet.pdf,2026-08-19T07:45:19.497298+00:00,success,tier1_amc
